Event	ID	Name			Wwise Object Path	Notes
	343234584	Play_Take_Damage_Enemy			\Default Work Unit\EnemySfx\Play_Take_Damage_Enemy	
	589308837	Play_Death_Enemy			\Default Work Unit\EnemySfx\Play_Death_Enemy	
	3082387274	Play_Shout_S_Enemy			\Default Work Unit\EnemySfx\Play_Shout_S_Enemy	
	3124083878	Play_Footsteps_Enemy			\Default Work Unit\EnemySfx\Play_Footsteps_Enemy	
	4269470325	Play_Shout_L_Enemy			\Default Work Unit\EnemySfx\Play_Shout_L_Enemy	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	121471041	footstep_enemy_01	C:\Users\fhisc\OneDrive\Documents\Projects\Unity\GlobalGameJam-2022\GGJ22 Team Game\GGJ22 Team Game_WwiseProject\.cache\Mac\SFX\footstep_enemy_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\EnemySfx\Footsteps_Enemy\footstep_enemy_01		96064
	139640123	vocal03_lg_enemy	C:\Users\fhisc\OneDrive\Documents\Projects\Unity\GlobalGameJam-2022\GGJ22 Team Game\GGJ22 Team Game_WwiseProject\.cache\Mac\SFX\vocal03_lg_enemy_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\EnemySfx\Shout_L_Enemy\vocal03_lg_enemy		219326
	229934857	footstep_enemy_07	C:\Users\fhisc\OneDrive\Documents\Projects\Unity\GlobalGameJam-2022\GGJ22 Team Game\GGJ22 Team Game_WwiseProject\.cache\Mac\SFX\footstep_enemy_07_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\EnemySfx\Footsteps_Enemy\footstep_enemy_07		96064
	314759783	footstep_enemy_05	C:\Users\fhisc\OneDrive\Documents\Projects\Unity\GlobalGameJam-2022\GGJ22 Team Game\GGJ22 Team Game_WwiseProject\.cache\Mac\SFX\footstep_enemy_05_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\EnemySfx\Footsteps_Enemy\footstep_enemy_05		96064
	342411281	vocal00_sm_enemy	C:\Users\fhisc\OneDrive\Documents\Projects\Unity\GlobalGameJam-2022\GGJ22 Team Game\GGJ22 Team Game_WwiseProject\.cache\Mac\SFX\vocal00_sm_enemy_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\EnemySfx\Shout_S_Enemy\vocal00_sm_enemy		144064
	396860089	vocal01_sm_enemy	C:\Users\fhisc\OneDrive\Documents\Projects\Unity\GlobalGameJam-2022\GGJ22 Team Game\GGJ22 Team Game_WwiseProject\.cache\Mac\SFX\vocal01_sm_enemy_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\EnemySfx\Shout_S_Enemy\vocal01_sm_enemy		219326
	419519649	footstep_enemy_06	C:\Users\fhisc\OneDrive\Documents\Projects\Unity\GlobalGameJam-2022\GGJ22 Team Game\GGJ22 Team Game_WwiseProject\.cache\Mac\SFX\footstep_enemy_06_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\EnemySfx\Footsteps_Enemy\footstep_enemy_06		96064
	431900055	footstep_enemy_03	C:\Users\fhisc\OneDrive\Documents\Projects\Unity\GlobalGameJam-2022\GGJ22 Team Game\GGJ22 Team Game_WwiseProject\.cache\Mac\SFX\footstep_enemy_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\EnemySfx\Footsteps_Enemy\footstep_enemy_03		96064
	519706623	vocal01_lg_enemy	C:\Users\fhisc\OneDrive\Documents\Projects\Unity\GlobalGameJam-2022\GGJ22 Team Game\GGJ22 Team Game_WwiseProject\.cache\Mac\SFX\vocal01_lg_enemy_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\EnemySfx\Shout_L_Enemy\vocal01_lg_enemy		219326
	560098719	footstep_enemy_04	C:\Users\fhisc\OneDrive\Documents\Projects\Unity\GlobalGameJam-2022\GGJ22 Team Game\GGJ22 Team Game_WwiseProject\.cache\Mac\SFX\footstep_enemy_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\EnemySfx\Footsteps_Enemy\footstep_enemy_04		96064
